epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.213335,0.562983,4.67142,0.75240,
002,0.780073,0.309878,3.96113,0.65700,
003,0.573984,0.214217,1.67812,0.51940,
004,0.497826,0.181104,4.43926,0.72460,
005,0.453268,0.163357,13.23523,0.75760,
006,0.428959,0.152504,7.29769,0.73940,
007,0.403474,0.143383,3.69992,0.65200,
008,0.385572,0.136704,4.24798,0.65620,
009,0.372536,0.131643,1.47025,0.35460,
010,0.361101,0.126252,4.06476,0.65160,
011,0.350313,0.122035,0.79850,0.29660,
012,0.344566,0.120548,1.03039,0.32820,
013,0.334629,0.116739,0.91167,0.33680,
014,0.329526,0.115548,2.23572,0.59720,
015,0.323821,0.112930,1.95632,0.46940,
016,0.316904,0.110174,3.22522,0.59840,
017,0.312803,0.109557,1.52230,0.39060,
018,0.306335,0.106974,0.69270,0.24860,
019,0.303176,0.105557,1.11669,0.31700,
020,0.299514,0.104235,1.47779,0.37100,
021,0.296256,0.103948,1.17479,0.32640,
022,0.292541,0.102800,2.31974,0.50360,
023,0.288275,0.101391,0.72871,0.25640,
024,0.286134,0.100791,2.09187,0.52500,
025,0.282505,0.099652,3.82016,0.64680,
026,0.279433,0.098061,3.74620,0.52520,
027,0.276415,0.097452,12.73652,0.75620,
028,0.277033,0.097835,0.56012,0.19620,
029,0.270273,0.094452,1.27981,0.35780,
030,0.268388,0.094626,0.67071,0.23620,
031,0.263911,0.092409,1.00042,0.31900,
032,0.263399,0.092930,1.53184,0.34760,
033,0.259878,0.092061,0.45694,0.15960,
034,0.258106,0.091252,0.46747,0.16160,
035,0.254513,0.088791,4.02149,0.60300,
036,0.254664,0.090617,1.26636,0.32900,
037,0.251136,0.088461,0.74119,0.26040,
038,0.250200,0.088670,0.53627,0.19860,
039,0.248395,0.086791,1.12730,0.32800,
040,0.242925,0.085826,2.55571,0.50500,
041,0.244221,0.086452,0.53534,0.18320,
042,0.241856,0.085374,0.53396,0.18460,
043,0.240284,0.085409,0.95467,0.31400,
044,0.237536,0.083939,1.79795,0.31100,
045,0.235206,0.082757,2.70756,0.56640,
046,0.234177,0.083174,2.90739,0.50720,
047,0.234665,0.083670,0.59019,0.20880,
048,0.231291,0.082130,3.82113,0.62460,
049,0.228720,0.081330,2.08009,0.37280,
050,0.230643,0.082304,2.24028,0.42360,
051,0.225906,0.079904,1.46460,0.37560,
052,0.224202,0.080009,0.58698,0.19720,
053,0.223241,0.079626,0.88681,0.23620,
054,0.219774,0.079035,0.67236,0.22280,
055,0.221944,0.078861,1.71405,0.42060,
056,0.219374,0.079374,1.01226,0.29140,
057,0.218285,0.077383,1.49238,0.33520,
058,0.213987,0.076583,0.88024,0.31100,
059,0.211631,0.075678,1.19189,0.30280,
060,0.214650,0.077487,1.05739,0.30440,
061,0.210413,0.075730,0.96478,0.29340,
062,0.212682,0.075304,0.51156,0.18500,
063,0.209184,0.075017,0.56815,0.17860,
064,0.207943,0.075017,0.96233,0.28680,
065,0.207600,0.074965,1.03563,0.29640,
066,0.203983,0.073722,0.50958,0.19000,
067,0.205129,0.074548,1.23179,0.28440,
068,0.203144,0.072852,1.25229,0.35320,
