epoch,train_loss,train_error,valid_loss,valid_error,test_error
073,0.203631,0.073209,0.69388,0.21640,
074,0.199840,0.072139,0.96322,0.32240,
075,0.201498,0.072591,0.64240,0.20380,
076,0.201958,0.073365,0.62060,0.19700,
077,0.198244,0.071878,2.51882,0.45960,
078,0.197996,0.070287,0.55853,0.17740,
079,0.194786,0.070557,0.35261,0.12240,
080,0.195737,0.070217,0.55510,0.19020,
081,0.198168,0.070748,1.09452,0.28540,
082,0.193665,0.069765,0.42513,0.14380,
083,0.189725,0.068757,0.34601,0.11920,
084,0.194187,0.069791,0.73393,0.21240,
085,0.193519,0.070652,0.45052,0.15380,
086,0.190010,0.069061,1.07982,0.33020,
087,0.189025,0.067730,0.55896,0.18120,
088,0.189025,0.068826,0.41330,0.13100,
089,0.188476,0.067913,0.64038,0.18220,
090,0.189119,0.068096,0.66884,0.19060,
091,0.184662,0.066930,0.53384,0.17400,
092,0.184646,0.066174,0.76494,0.22200,
093,0.186572,0.068087,1.59193,0.34900,
094,0.180738,0.065209,0.37906,0.11680,
095,0.181187,0.064757,0.43762,0.15000,
096,0.181429,0.065026,0.88699,0.25300,
097,0.182293,0.065591,0.76507,0.21780,
098,0.182095,0.065765,0.93449,0.26200,
099,0.179262,0.064739,1.01957,0.24160,
100,0.179869,0.064939,0.72663,0.22040,
101,0.178875,0.064939,0.39509,0.13000,
102,0.179355,0.064322,0.75246,0.21560,
103,0.177775,0.063687,1.38972,0.31700,
104,0.176966,0.064339,2.07574,0.38580,
105,0.174568,0.063974,0.43299,0.14420,
106,0.173920,0.063800,0.68298,0.19060,
107,0.174770,0.063687,0.77382,0.23100,
108,0.171828,0.062383,0.44978,0.14280,
109,0.169580,0.061052,4.78166,0.68360,
110,0.174554,0.063487,0.45192,0.14480,
111,0.170608,0.061765,0.82716,0.23360,
112,0.169233,0.061617,1.21887,0.27720,
113,0.170679,0.062174,0.99790,0.22300,
114,0.166515,0.061522,0.54473,0.17200,
115,0.166669,0.060687,0.48271,0.16380,
116,0.168748,0.061313,0.87985,0.26200,
117,0.165103,0.060487,0.73953,0.21260,
118,0.168751,0.061383,0.42717,0.14000,
119,0.163834,0.060487,0.45645,0.13240,
120,0.162107,0.058374,0.97194,0.28880,
121,0.166853,0.059713,0.73141,0.20240,
122,0.160985,0.058922,0.63794,0.21300,
123,0.164873,0.060261,1.11268,0.26400,
124,0.161472,0.058852,1.50483,0.37500,
125,0.158128,0.058270,0.83742,0.23420,
126,0.158116,0.058339,0.43966,0.13800,
127,0.157533,0.057670,0.53222,0.16860,
128,0.159852,0.058617,0.85409,0.25340,
129,0.159316,0.057626,0.57029,0.16320,
130,0.156344,0.057609,0.49490,0.15460,
131,0.155491,0.056817,0.75246,0.21140,
132,0.155724,0.057574,1.01016,0.22920,
133,0.151447,0.055270,0.40384,0.13060,
134,0.156560,0.057139,0.65852,0.18080,
135,0.154495,0.056922,0.57754,0.17000,
136,0.153256,0.056426,0.44583,0.13280,
137,0.154557,0.056200,0.75680,0.18760,
138,0.149386,0.054426,0.49683,0.15760,
139,0.152932,0.056157,0.67446,0.18800,
140,0.150187,0.054470,0.65634,0.18320,
141,0.148986,0.054939,0.66211,0.19020,
142,0.150163,0.054696,0.76942,0.20040,
143,0.151448,0.055304,0.91542,0.24720,
144,0.147748,0.053800,0.72569,0.21560,
145,0.151536,0.055930,0.72191,0.20020,
146,0.149183,0.054443,0.74045,0.21300,
147,0.144712,0.053157,0.49384,0.15580,
148,0.149566,0.054939,0.67118,0.20300,
149,0.149280,0.055043,0.68956,0.18240,
150,0.076032,0.025435,0.35217,0.10380,
151,0.046654,0.012617,0.37433,0.10100,
152,0.035175,0.007948,0.39308,0.10220,
153,0.028737,0.005809,0.38777,0.09980,
154,0.023963,0.004252,0.40929,0.10180,
155,0.020527,0.003148,0.42099,0.10140,
156,0.018191,0.002461,0.42670,0.10300,
157,0.015820,0.001852,0.45325,0.10520,
158,0.014625,0.001783,0.44864,0.10320,
159,0.013135,0.001278,0.45553,0.10200,
160,0.011912,0.001096,0.46285,0.10340,
161,0.011108,0.001130,0.47598,0.10300,
162,0.010095,0.000800,0.47130,0.10280,
163,0.009692,0.000913,0.48218,0.10460,
164,0.008910,0.000748,0.48678,0.10480,
165,0.008338,0.000713,0.49905,0.10500,
166,0.007825,0.000696,0.50228,0.10720,
167,0.007572,0.000704,0.50163,0.10580,
168,0.007329,0.000696,0.51374,0.10800,
169,0.006815,0.000609,0.50884,0.10460,
170,0.006648,0.000617,0.50591,0.10500,
171,0.005992,0.000504,0.50773,0.10480,
172,0.005736,0.000443,0.51719,0.10640,
173,0.005597,0.000487,0.52767,0.10320,
174,0.005384,0.000426,0.52359,0.10640,
175,0.005241,0.000487,0.52896,0.10600,
176,0.004975,0.000409,0.52596,0.10400,
177,0.004923,0.000443,0.52121,0.10640,
178,0.004848,0.000417,0.53766,0.10420,
179,0.004566,0.000339,0.53446,0.10480,
180,0.004438,0.000339,0.54010,0.10640,
181,0.004361,0.000383,0.53746,0.10460,
182,0.004359,0.000330,0.54332,0.10540,
183,0.003900,0.000322,0.53893,0.10520,
184,0.004084,0.000357,0.54797,0.10600,
185,0.003892,0.000365,0.53933,0.10480,
186,0.003549,0.000270,0.54270,0.10600,
187,0.003890,0.000348,0.54879,0.10660,
188,0.003444,0.000270,0.54630,0.10620,
189,0.003596,0.000296,0.54198,0.10440,
190,0.003738,0.000391,0.55672,0.10580,
191,0.003585,0.000348,0.54469,0.10480,
192,0.003259,0.000217,0.55223,0.10540,
193,0.003290,0.000287,0.55006,0.10400,
194,0.003047,0.000209,0.55677,0.10500,
195,0.003080,0.000287,0.56790,0.10480,
196,0.002950,0.000217,0.55106,0.10540,
197,0.002997,0.000287,0.55822,0.10660,
198,0.003199,0.000348,0.55720,0.10520,
199,0.003077,0.000278,0.55717,0.10600,
200,0.003176,0.000296,0.57327,0.10640,
201,0.002952,0.000209,0.57289,0.10520,
202,0.002788,0.000191,0.56742,0.10880,
203,0.002925,0.000217,0.55951,0.10500,
204,0.002722,0.000209,0.56254,0.10560,
205,0.002820,0.000261,0.56438,0.10680,
206,0.002659,0.000252,0.56685,0.10720,
207,0.002537,0.000217,0.56280,0.10660,
208,0.002640,0.000209,0.55720,0.10600,
209,0.002777,0.000270,0.56802,0.10680,
210,0.002639,0.000200,0.56829,0.10880,
211,0.002739,0.000261,0.56556,0.10780,
212,0.002332,0.000165,0.57412,0.10680,
213,0.002440,0.000174,0.56596,0.10660,
214,0.002369,0.000183,0.57334,0.10680,
215,0.002598,0.000252,0.57225,0.10720,
216,0.002462,0.000200,0.56350,0.10700,
217,0.002454,0.000209,0.57112,0.10560,
218,0.002335,0.000191,0.56723,0.10900,
219,0.002123,0.000183,0.57561,0.10860,
220,0.002232,0.000165,0.57579,0.10860,
221,0.002424,0.000191,0.57605,0.10720,
222,0.002273,0.000200,0.57768,0.10780,
223,0.002299,0.000217,0.57586,0.11000,
224,0.002266,0.000174,0.57307,0.10720,
225,0.002028,0.000139,0.57048,0.10640,
226,0.001998,0.000139,0.57299,0.10740,
227,0.001877,0.000113,0.57507,0.10720,
228,0.001912,0.000113,0.57751,0.10740,
229,0.001826,0.000148,0.58491,0.10800,
230,0.001822,0.000078,0.57305,0.10680,
231,0.001873,0.000122,0.57889,0.10760,
232,0.001803,0.000096,0.57667,0.10780,
233,0.001809,0.000113,0.57971,0.10680,
234,0.001757,0.000104,0.57999,0.10840,
235,0.001806,0.000113,0.58134,0.10520,
236,0.001807,0.000130,0.57893,0.10780,
237,0.001895,0.000113,0.57528,0.10860,
238,0.001691,0.000104,0.57673,0.10720,
239,0.001669,0.000104,0.57927,0.10640,
240,0.001757,0.000130,0.58190,0.10640,
241,0.001774,0.000078,0.57720,0.10680,
242,0.001866,0.000122,0.58143,0.10780,
243,0.001775,0.000130,0.57911,0.10800,
244,0.001653,0.000104,0.57919,0.10700,
245,0.001772,0.000122,0.57452,0.10820,
246,0.001676,0.000104,0.58435,0.10680,
247,0.001757,0.000113,0.57340,0.10720,
248,0.001729,0.000096,0.57553,0.10780,
249,0.001713,0.000104,0.57966,0.10680,
250,0.001821,0.000130,0.58231,0.10740,
251,0.001731,0.000157,0.58312,0.10640,
252,0.001699,0.000130,0.58407,0.10840,
253,0.001652,0.000113,0.57499,0.10740,
254,0.001658,0.000096,0.58310,0.10780,
255,0.001809,0.000122,0.57666,0.10740,
256,0.001657,0.000113,0.58138,0.10800,
257,0.001726,0.000122,0.57951,0.10600,
258,0.001749,0.000130,0.58343,0.10880,
259,0.001593,0.000096,0.57625,0.10880,
260,0.001631,0.000104,0.58174,0.10980,
261,0.001695,0.000087,0.58368,0.10660,
262,0.001694,0.000130,0.57733,0.10880,
263,0.001629,0.000113,0.58188,0.10740,
264,0.001692,0.000139,0.57894,0.10920,
265,0.001760,0.000130,0.58283,0.10940,
266,0.001731,0.000096,0.58673,0.10740,
267,0.001666,0.000122,0.57767,0.10920,
268,0.001717,0.000113,0.57288,0.10740,
269,0.001669,0.000113,0.57863,0.10660,
270,0.001650,0.000096,0.58379,0.10800,
271,0.001610,0.000104,0.57886,0.10620,
272,0.001717,0.000113,0.57412,0.10900,
273,0.001630,0.000078,0.57444,0.10920,
274,0.001642,0.000148,0.58140,0.10760,
275,0.001720,0.000165,0.57964,0.10760,
276,0.001733,0.000148,0.57671,0.10860,
277,0.001683,0.000139,0.57788,0.10800,
278,0.001612,0.000122,0.58150,0.10640,
279,0.001615,0.000087,0.58032,0.10720,
280,0.001647,0.000122,0.57825,0.10700,
281,0.001646,0.000061,0.58366,0.10780,
282,0.001644,0.000087,0.57671,0.10640,
283,0.001643,0.000122,0.57696,0.10940,
284,0.001621,0.000122,0.57972,0.10660,
285,0.001794,0.000157,0.57823,0.10640,
286,0.001665,0.000096,0.58113,0.10800,
287,0.001619,0.000096,0.57646,0.10540,
288,0.001654,0.000113,0.57827,0.10840,
289,0.001675,0.000113,0.58897,0.10860,
290,0.001672,0.000122,0.58373,0.10800,
291,0.001607,0.000122,0.57935,0.10620,
292,0.001639,0.000061,0.57615,0.10840,
293,0.001648,0.000113,0.58355,0.10720,
294,0.001664,0.000148,0.57524,0.10720,
295,0.001631,0.000113,0.57941,0.10880,
296,0.001703,0.000130,0.58149,0.10840,
297,0.001619,0.000104,0.58802,0.10960,
298,0.001652,0.000122,0.57886,0.10820,
299,0.001699,0.000157,0.57387,0.10760,
300,0.001565,0.000087,0.58133,0.10700,
,,,,,0.10855
